"sigma1","iota1","sigma2","iota2","sigma3","iota3"
0.33,0.08,0.948730669589464,0.562775681356645,0.221269330410536,0.857224318643355
0.34,0.08,0.943730669589464,0.57143593539449,0.216269330410536,0.84856406460551
0.35,0.08,0.938730669589464,0.580096189432334,0.211269330410536,0.839903810567666
0.36,0.08,0.933730669589464,0.588756443470179,0.206269330410536,0.831243556529821
0.37,0.08,0.928730669589464,0.597416697508023,0.201269330410536,0.822583302491977
0.38,0.08,0.923730669589464,0.606076951545867,0.196269330410536,0.813923048454133
0.39,0.08,0.918730669589464,0.614737205583712,0.191269330410536,0.805262794416288
0.4,0.08,0.913730669589464,0.623397459621556,0.186269330410536,0.796602540378444
0.41,0.08,0.908730669589464,0.632057713659401,0.181269330410536,0.787942286340599
0.42,0.08,0.903730669589464,0.640717967697245,0.176269330410536,0.779282032302755
0.43,0.08,0.898730669589464,0.649378221735089,0.171269330410536,0.770621778264911
0.44,0.08,0.893730669589464,0.658038475772934,0.166269330410536,0.761961524227066
0.45,0.08,0.888730669589464,0.666698729810778,0.161269330410536,0.753301270189222
0.46,0.08,0.883730669589464,0.675358983848622,0.156269330410536,0.744641016151377
0.47,0.08,0.878730669589464,0.684019237886467,0.151269330410536,0.735980762113533
0.48,0.08,0.873730669589464,0.692679491924311,0.146269330410536,0.727320508075689
0.49,0.08,0.868730669589464,0.701339745962156,0.141269330410536,0.718660254037844
0.5,0.08,0.863730669589464,0.71,0.136269330410536,0.71
0.51,0.08,0.858730669589464,0.718660254037844,0.131269330410536,0.701339745962156
0.52,0.08,0.853730669589464,0.727320508075689,0.126269330410536,0.692679491924311
0.53,0.08,0.848730669589464,0.735980762113533,0.121269330410536,0.684019237886467
0.54,0.08,0.843730669589464,0.744641016151378,0.116269330410536,0.675358983848622
0.55,0.08,0.838730669589464,0.753301270189222,0.111269330410536,0.666698729810778
